Entity,Code,Year,"Political corruption index (central estimate, aggregate: average)"
Argentina,ARG,1789,0.321
Argentina,ARG,1790,0.321
Argentina,ARG,1791,0.321
Argentina,ARG,1792,0.321
Argentina,ARG,1793,0.321
Argentina,ARG,1794,0.321
Argentina,ARG,1795,0.321
Argentina,ARG,1796,0.321
Argentina,ARG,1797,0.321
Argentina,ARG,1798,0.321
Argentina,ARG,1799,0.321
Argentina,ARG,1800,0.321
Argentina,ARG,1801,0.321
Argentina,ARG,1802,0.321
Argentina,ARG,1803,0.321
Argentina,ARG,1804,0.321
Argentina,ARG,1805,0.321
Argentina,ARG,1806,0.321
Argentina,ARG,1807,0.321
Argentina,ARG,1808,0.321
Argentina,ARG,1809,0.321
Argentina,ARG,1810,0.321
Argentina,ARG,1811,0.313
Argentina,ARG,1812,0.313
Argentina,ARG,1813,0.313
Argentina,ARG,1814,0.313
Argentina,ARG,1815,0.313
Argentina,ARG,1816,0.313
Argentina,ARG,1817,0.313
Argentina,ARG,1818,0.313
Argentina,ARG,1819,0.313
Argentina,ARG,1820,0.313
Argentina,ARG,1821,0.313
Argentina,ARG,1822,0.313
Argentina,ARG,1823,0.313
Argentina,ARG,1824,0.313
Argentina,ARG,1825,0.313
Argentina,ARG,1826,0.313
Argentina,ARG,1827,0.313
Argentina,ARG,1828,0.313
Argentina,ARG,1829,0.313
Argentina,ARG,1830,0.313
Argentina,ARG,1831,0.313
Argentina,ARG,1832,0.313
Argentina,ARG,1833,0.313
Argentina,ARG,1834,0.313
Argentina,ARG,1835,0.313
Argentina,ARG,1836,0.313
Argentina,ARG,1837,0.313
Argentina,ARG,1838,0.313
Argentina,ARG,1839,0.313
Argentina,ARG,1840,0.313
Argentina,ARG,1841,0.313
Argentina,ARG,1842,0.313
Argentina,ARG,1843,0.313
Argentina,ARG,1844,0.313
Argentina,ARG,1845,0.313
Argentina,ARG,1846,0.313
Argentina,ARG,1847,0.313
Argentina,ARG,1848,0.313
Argentina,ARG,1849,0.313
Argentina,ARG,1850,0.313
Argentina,ARG,1851,0.313
Argentina,ARG,1852,0.313
Argentina,ARG,1853,0.297
Argentina,ARG,1854,0.297
Argentina,ARG,1855,0.297
Argentina,ARG,1856,0.297
Argentina,ARG,1857,0.297
Argentina,ARG,1858,0.297
Argentina,ARG,1859,0.297
Argentina,ARG,1860,0.297
Argentina,ARG,1861,0.297
Argentina,ARG,1862,0.274
Argentina,ARG,1863,0.274
Argentina,ARG,1864,0.274
Argentina,ARG,1865,0.274
Argentina,ARG,1866,0.274
Argentina,ARG,1867,0.274
Argentina,ARG,1868,0.274
Argentina,ARG,1869,0.274
Argentina,ARG,1870,0.274
Argentina,ARG,1871,0.274
Argentina,ARG,1872,0.274
Argentina,ARG,1873,0.274
Argentina,ARG,1874,0.274
Argentina,ARG,1875,0.274
Argentina,ARG,1876,0.274
Argentina,ARG,1877,0.274
Argentina,ARG,1878,0.274
Argentina,ARG,1879,0.274
Argentina,ARG,1880,0.274
Argentina,ARG,1881,0.274
Argentina,ARG,1882,0.274
Argentina,ARG,1883,0.274
Argentina,ARG,1884,0.274
Argentina,ARG,1885,0.274
Argentina,ARG,1886,0.274
Argentina,ARG,1887,0.274
Argentina,ARG,1888,0.274
Argentina,ARG,1889,0.274
Argentina,ARG,1890,0.274
Argentina,ARG,1891,0.274
Argentina,ARG,1892,0.274
Argentina,ARG,1893,0.274
Argentina,ARG,1894,0.274
Argentina,ARG,1895,0.274
Argentina,ARG,1896,0.274
Argentina,ARG,1897,0.274
